0,"Sweet are the uses of adversity which, like the toad, ugly and venomous, wears yet a precious jewel in his head."
0,"Our doubts are traitors and make us lose the good we oft might win by fearing to attempt."
1,"We have all a better guide in ourselves if we would attend to it, than any other person can be."
1,"Friendship is certainly the finest balm for the pangs of disappointed love."
1,"To be fond of dancing was a certain step towards falling in love."
1,"Happiness in marriage is entirely a matter of chance."
2,"A day wasted on others is not wasted on one's self."
2,"Have a heart that never hardens, and a temper that never tires, and a touch that never hurts."
2,"It was the best of times, it was the worst of times."
2,"The pain of parting is nothing to the joy of meeting again."
3,"Women are supposed to be very calm generally: but women feel just as men feel."
3,"I am no bird; and no net ensnares me: I am a free human being with an independent will."
3,"I could bend you with my finger and my thumb"
4,"It is never too late to be what you might have been."
4,"What do we live for, if it is not to make life less difficult for each other?"
4,"Blessed is the man who, having nothing to say, abstains from giving us wordy evidence of the fact."
4,"I like not only to be loved, but also to be told that I am loved."
5,"There are far, far better things ahead than any we leave behind."
5,"You can never get a cup of tea large enough or a book long enough to suit me."
5,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else."
6,"Freedom is the freedom to say that two plus two make four."
6,"Freedom of speech is real."
6,"He is a slave with a semblance of liberty which is worse than the most cruel slavery."
6,"If liberty means anything at all, it means the right to tell people what they do not want to hear."
7,"A horse is dangerous at both ends and uncomfortable in the middle. "
7,"Never say 'no' to adventures."
-1,"Old man dies young."
